"","Topic 1","Topic 1 Prob","Topic 2","Topic 2 Prob","Topic 3","Topic 3 Prob","Topic 4","Topic 4 Prob","Topic 5","Topic 5 Prob","Topic 6","Topic 6 Prob","Topic 7","Topic 7 Prob","Topic 8","Topic 8 Prob","Topic 9","Topic 9 Prob"
"1","street",0.044716807947735,"house",0.0423262984424007,"neighborhood",0.142773722627737,"place",0.0811361687099541,"store",0.0918187695827324,"park",0.0698404859499235,"crime",0.0872157760549456,"job",0.0678055900956912,"people",0.190999841546506
"2","pretty",0.0333783273041413,"building",0.0279729945244804,"school",0.046926755600302,"city",0.0541950456586449,"food",0.0753071069776695,"walk",0.0424811101782804,"safe",0.0618242364326968,"business",0.0523436232902633,"community",0.0779696825648339
"3","day",0.02603531126829,"high",0.0257402583594705,"family",0.040080543669771,"neighborhood",0.040270420261339,"restaurant",0.0753071069776695,"close",0.0350733369549114,"police",0.0600551537540975,"local",0.0432610693625994,"friendly",0.0384619447525485
"4","weather",0.0237676151395713,"apartment",0.0247833714316092,"year",0.033838409262522,"love",0.0376469401140205,"shop",0.0283582831849605,"public",0.0340856338584621,"time",0.0350798688797544,"work",0.0416391847326594,"take",0.0326519833095653
"5","summer",0.0211759624210356,"housing",0.0227632768061241,"move",0.0306166624716839,"different",0.0342162353059886,"variety",0.0227880837519272,"transportation",0.029245888685861,"night",0.0316457672095322,"find",0.0406660539546954,"time",0.0290603707811757
"6","winter",0.0211759624210356,"keep",0.0208495029504014,"home",0.0238711301283665,"diverse",0.0234196054689471,"place",0.0199035161883921,"train",0.0257889278482888,"happen",0.021655653259795,"small",0.0250959615072715,"neighbor",0.0242011303015898
"7","problem",0.0157766859240862,"rent",0.0195736537132529,"block",0.02205889755852,"culture",0.0167600020180617,"fast",0.0183120306360969,"bus",0.0242086028939701,"safety",0.0188459337114314,"opportunity",0.0206628101854355,"overall",0.019658796809803
"8","year",0.0140489174450624,"clean",0.0180851629365797,"change",0.0218575383840926,"diversity",0.0159527773573483,"option",0.0183120306360969,"quiet",0.0241098325843252,"hear",0.0181174879025964,"look",0.0202303076174515,"help",0.0150108276554165
"9","experience",0.0132930187354894,"quality",0.0160650683110946,"grow",0.0175283161339038,"life",0.0150446496140457,"bar",0.01811309494206,"near",0.0207516420563978,"rate",0.0145793225453978,"service",0.0187165486295075,"long",0.0147995563302171
"10","especially",0.0131850332055505,"living",0.0156397852320451,"child",0.0174276365466902,"beautiful",0.0124211694667272,"open",0.0167205450838017,"far",0.016800829670601,"drug",0.0130183672407513,"available",0.0150402768016435,"stay",0.0140601066920192
"11","extremely",0.0112412936666487,"price",0.0145765775344214,"kid",0.0152126856279889,"enjoy",0.0122193633015489,"grocery",0.0157258666136172,"subway",0.0161094375030866,"outside",0.0118736666840106,"pay",0.0147158998756555,"event",0.0137431997042201
"12","snow",0.0111333081367097,"expensive",0.0142576152251342,"resident",0.0148099672791342,"height",0.0108067201453004,"eat",0.0132391704381559,"nearby",0.0159118968837967,"car",0.0116655393100578,"hard",0.0142833973076715,"care",0.0123699360904241
"13","cold",0.0104853949570758,"low",0.0141512944553719,"life",0.0120916184243645,"atmosphere",0.00989859240199788,"supermarket",0.0129407668971005,"easy",0.0152205047162823,"activity",0.0104167750663406,"employment",0.0141752716656755,"tend",0.0118417577774257
"14","hot",0.00897359753792992,"little",0.012769124448461,"young",0.0111855021394412,"amazing",0.00989859240199788,"chinese",0.00965832794549162,"run",0.0145291125487678,"late",0.00989645663145845,"try",0.0140671460236795,"sense",0.0114192151270269
"15","season",0.00886561200799093,"cost",0.0123438413694115,"right",0.0110848225522275,"town",0.00808233691539276,"corner",0.00876311732232556,"convenient",0.0141340313101882,"even",0.00895988344867058,"part",0.0125533870357355,"think",0.0114192151270269
"16","even",0.00864964094811296,"affordable",0.0122375205996491,"college",0.0104807450289454,"think",0.00747691841985773,"chain",0.00776843885214105,"distance",0.0140352610005432,"occur",0.00781518289192986,"give",0.0116883818997675,"family",0.00994031585063118
"17","less",0.00843366988823498,"quite",0.0101111052044017,"middle",0.00947394915680845,"avenue",0.00737601533726855,"deli",0.00776843885214105,"access",0.013047557904094,"certain",0.00739892814402414,"big",0.0113640049737795,"pet",0.00835578091163577
"18","past",0.00789374223854003,"space",0.00979214289511456,"play",0.00927258998238107,"experience",0.00717420917209021,"healthy",0.00747003531108569,"minute",0.0117635438787101,"walk",0.00719080077007129,"little",0.0103908741958155,"even",0.00814450958643638
"19","major",0.00789374223854003,"decent",0.00979214289511456,"raise",0.00886987163352631,"east",0.00707330608950104,"type",0.00697269607599343,"gym",0.0107758407822608,"sure",0.00719080077007129,"retail",0.00909336649186354,"generally",0.00803887392383669
"20","leave",0.00756978564872307,"average",0.00957950135558982,"improve",0.00856783287188523,"full",0.00677059684173351,"market",0.00687322822897499,"station",0.0102819892340363,"violence",0.00719080077007129,"provide",0.00887711520787155,"dog",0.00729942428563883
